collection_date,allpos_count
2020-03-23,2819
2020-07-08,1277
2020-11-06,3053
2021-12-21,34646
2020-03-16,2187
2021-11-15,32126
2020-06-27,625
2021-03-19,11565
2021-01-30,5780
2021-09-06,23007
2020-12-28,9647
2021-08-07,21543
2020-05-08,931
2020-04-23,1478
2020-07-06,1297
2020-09-27,1142
2022-01-27,30456
2020-12-20,2917
2020-11-03,2995
2021-01-10,4170
2021-08-11,24117
2022-03-17,12056
2021-04-23,13393
2020-07-15,1663
2021-07-18,10251
2022-02-20,16659
2021-02-27,6066
2021-01-20,7872
2020-02-02,56
2020-09-16,2147
2021-10-15,19160
2021-07-27,25296
2021-12-04,22081
2020-05-27,837
2021-09-01,36899
2021-06-26,8084
2020-06-21,789
2021-09-29,23793
2022-03-15,12174
2021-03-22,21312
2020-04-12,1231
2020-04-21,1608
2021-08-06,25981
2021-06-07,13777
2020-02-13,24
2022-02-10,27323
2022-03-23,760
2022-03-18,10395
2021-05-10,18646
2021-10-20,21447
2021-06-17,7934
2020-09-01,2477
2022-02-22,27228
2020-09-06,398
2021-11-13,18764
2020-06-02,792
2020-01-28,37
2020-08-02,875
2020-03-09,1001
2021-09-27,25955
2021-12-30,40103
2021-04-25,6972
2020-02-01,99
2021-11-07,16827
2021-05-02,6960
2021-07-15,15732
2021-03-17,13009
2020-12-02,3360
2021-01-08,6107
2021-05-27,8662
2020-05-02,883
2021-08-08,17026
2020-07-31,1343
2021-12-28,41136
2021-08-27,26449
2021-12-05,20496
2021-07-10,9349
2022-02-12,21882
2022-02-21,33856
2020-03-25,2739
2020-05-13,980
2022-02-06,22769
2022-03-26,2
2021-05-15,6873
2021-06-28,12999
2020-09-20,854
2021-01-27,9655
2021-03-14,7172
2021-05-28,8014
2021-08-04,28067
2020-06-22,1104
2020-12-31,4157
2021-11-16,29758
2020-12-26,4086
2021-04-27,16036
2021-10-13,19669
2021-05-09,5962
2021-01-15,8297
2021-11-12,24204
2021-04-08,14831
2020-08-24,1588
2022-03-12,10926
2020-02-23,43
2021-07-09,13185
2020-06-09,898
2020-10-17,1545
2021-12-12,18018
2022-01-14,33924
2020-11-20,2640
2020-10-16,2189
2021-02-05,7117
2020-10-04,848
2021-07-30,24058
2021-04-26,20734
2022-01-16,21052
2021-06-29,14403
2021-11-27,17752
2022-01-06,34424
2022-03-10,13672
2021-09-25,11884
2022-01-29,21520
2021-06-12,4231
2021-08-19,32837
2020-07-22,1515
2021-04-07,15268
2021-11-02,26946
2020-08-16,609
2021-08-17,34458
2021-12-27,45785
2021-05-23,4267
2022-01-04,49518
2021-01-05,7938
2020-12-30,4904
2021-10-18,25582
2020-12-05,1594
2021-05-20,9370
2020-03-07,411
2020-05-30,434
2020-07-18,1141
2020-11-30,6394
2020-05-23,463
2020-03-17,2115
2022-01-31,42670
2020-03-30,3033
2020-09-19,948
2021-04-10,10455
2022-03-06,14601
2021-03-29,20859
2022-03-09,19404
2020-08-13,1348
2020-08-25,1278
2020-01-29,62
2020-04-03,2444
2021-05-04,13663
2020-03-18,2212
2020-10-09,2055
2021-01-19,9294
2020-05-03,729
2021-01-16,5837
2021-09-16,22658
2020-09-09,1997
2021-10-02,12613
2020-05-05,1137
2020-09-24,2909
2021-03-27,9024
2021-12-11,18821
2020-01-19,5
2020-12-29,6583
2021-01-29,8911
2021-07-26,26343
2020-02-28,181
2021-06-18,8812
2021-09-23,20286
2020-10-25,935
2021-04-12,21190
2021-06-16,8957
2020-10-05,3129
2020-09-14,2011
2021-01-01,67939
2021-11-25,18294
2022-01-11,40372
2020-06-14,712
2021-03-28,7595
2020-08-30,847
2020-12-25,1659
2021-08-15,18376
2020-01-21,13
2020-01-31,36
2020-05-04,1387
2021-02-22,15057
2020-03-20,2209
2020-06-16,1700
2021-11-21,17549
2022-03-11,12725
2020-05-11,1057
2020-10-01,3728
2020-06-07,509
2021-06-14,9568
2020-08-28,1234
2020-10-08,2321
2021-05-05,13688
2020-02-17,57
2021-08-14,19470
2021-05-06,12761
2021-09-30,20882
2021-09-15,22559
2021-09-17,22499
2020-07-14,1572
2020-05-31,372
2020-09-15,1290
2021-10-28,23654
2022-01-02,28106
2020-07-25,930
2021-10-30,16041
2021-12-14,35520
2020-07-05,607
2020-12-13,2596
2020-03-29,1905
2021-05-30,4984
2021-03-13,8250
2020-04-26,827
2020-09-11,1295
2021-02-10,10222
2022-01-30,22572
2021-08-02,27743
2020-07-07,1343
2020-11-23,5153
2022-02-03,32300
2020-07-13,1581
2021-04-15,14410
2020-09-02,1277
2021-06-04,8996
2022-03-20,6194
2020-11-11,3482
2020-02-19,35
2021-05-21,8816
2021-08-26,27170
2020-02-12,12
2020-05-20,848
2021-05-31,11837
2021-08-31,34364
2020-04-15,1814
2020-07-11,744
2021-05-08,7786
2021-08-01,29050
2022-02-08,33968
2022-03-01,19591
2021-02-12,8962
2022-01-13,34118
2020-07-10,1269
2020-12-10,5017
2021-04-21,14185
2020-07-24,1305
2020-06-03,737
2021-07-17,11273
2020-05-06,1051
2021-01-28,8842
2021-03-21,8673
2021-08-29,14245
2022-03-05,14282
2020-04-14,1913
2021-02-17,9589
2022-01-09,18688
2022-03-21,7052
2021-04-14,15120
2020-01-18,7
2020-07-12,690
2020-04-27,1530
2021-10-11,22783
2021-01-06,5685
2021-03-03,12180
2021-07-22,20861
2021-11-20,18969
2021-12-08,29838
2020-09-30,1589
2021-09-21,25112
2020-08-26,1576
2020-12-03,2988
2021-11-18,25633
2021-04-06,15423
2021-03-23,14764
2021-10-29,21066
2020-09-08,1281
2021-05-29,5685
2022-01-23,21235
2020-04-25,913
2021-01-03,4851
2020-11-09,5008
2022-01-21,32175
2021-02-08,13542
2021-03-11,12563
2022-02-15,30703
2020-03-26,2791
2020-02-15,47
2020-05-15,1103
2020-12-19,3192
2020-04-17,1718
2020-01-26,52
2020-03-04,461
2020-04-29,1426
2020-11-14,3419
2020-02-03,41
2020-11-16,4522
2021-10-05,24074
2020-12-24,3247
2021-02-07,4691
2021-06-23,10187
2020-03-06,451
2020-08-17,1819
2022-01-22,22892
2020-11-27,2404
2021-03-02,12737
2021-08-03,29505
2021-11-28,19486
2020-08-18,1347
2021-09-03,25277
2020-04-24,1375
2021-05-12,11285
2021-10-09,14764
2020-10-10,1117
2020-11-04,4061
2021-05-26,9715
2021-10-06,21409
2021-12-10,26009
2020-07-02,1468
2020-05-24,424
2021-04-16,14095
2021-04-24,8650
2020-06-19,1379
2020-03-24,2743
2020-10-26,4878
2020-07-17,1585
2020-06-20,827
2020-10-07,2478
2020-06-11,1158
2020-07-29,1489
2021-12-07,33392
2020-02-26,89
2021-04-29,14176
2021-08-21,19784
2022-03-14,19106
2020-02-22,56
2020-09-28,1705
2020-12-27,3796
2020-03-02,337
2020-05-07,1046
2020-04-19,884
2021-09-24,21787
2021-10-10,13443
2020-03-08,452
2021-06-02,9507
2021-12-02,29116
2020-01-24,32
2020-07-01,2365
2021-02-03,8609
2021-04-30,14152
2020-09-23,1751
2021-06-08,10503
2020-03-31,2718
2020-08-06,1458
