collection_date,primer_set,rel,day30_avg,misclass,ts,ts1
2021-03-08,Chan-set,2.05240174672489,2.41070532751053,slight,1615161600,1615161600
2021-03-09,Chan-set,2.4390243902439,2.42795489952587,slight,1615248000,1615248000
2021-03-10,Chan-set,2.39175257731959,2.41745808833825,slight,1615334400,1615334400
2021-03-11,Chan-set,1.68888888888889,2.38987740420584,slight,1615420800,1615420800
2021-03-12,Chan-set,1.78127589063795,2.36125448100347,slight,1615507200,1615507200
2021-03-13,Chan-set,2.30179028132992,2.34533676219881,slight,1615593600,1615593600
2021-03-14,Chan-set,1.83946488294314,2.32869066864109,slight,1615680000,1615680000
2021-03-15,Chan-set,2.31084606783451,2.29893495130425,slight,1615766400,1615766400
2021-03-16,Chan-set,1.62311955661124,2.29362879436464,slight,1615852800,1615852800
2021-03-17,Chan-set,2.45614035087719,2.28118968794057,slight,1615939200,1615939200
2021-03-18,Chan-set,2.10772833723653,2.25053745633646,slight,1616025600,1616025600
2021-03-19,Chan-set,1.03995621237001,2.19039550978478,slight,1616112000,1616112000
2021-03-20,Chan-set,2.5802391441158,2.21792394909156,slight,1616198400,1616198400
2021-03-21,Chan-set,2.29382850901147,2.2452206909357,slight,1616284800,1616284800
2021-03-22,Chan-set,2.14160839160839,2.24376161873435,slight,1616371200,1616371200
2021-03-23,Chan-set,2.15449290593799,2.24461165360772,slight,1616457600,1616457600
2021-03-24,Chan-set,1.78403755868545,2.22623432857495,slight,1616544000,1616544000
2021-03-25,Chan-set,2.39209568382735,2.20321260366774,slight,1616630400,1616630400
2021-03-26,Chan-set,2.51046025104602,2.17736379627658,slight,1616716800,1616716800
2021-03-27,Chan-set,2.10052513128282,2.17015580219718,slight,1616803200,1616803200
2021-03-28,Chan-set,1.92864030858245,2.1531890883714,slight,1616889600,1616889600
2021-03-29,Chan-set,2.89256198347107,2.18986174199021,slight,1616976000,1616976000
2021-03-30,Chan-set,2.55681818181818,2.19435984805082,slight,1617062400,1617062400
2021-03-31,Chan-set,2.09267563527653,2.17693174440834,slight,1617148800,1617148800
2021-04-01,Chan-set,1.99914929817099,2.18158338148204,slight,1617235200,1617235200
2021-04-02,Chan-set,3.36920917173608,2.19004363747716,slight,1617321600,1617321600
2021-04-03,Chan-set,2.83114256825076,2.19669575817324,slight,1617408000,1617408000
2021-04-04,Chan-set,2.31124807395994,2.20870694318524,slight,1617494400,1617494400
2021-04-05,Chan-set,2.01173512154233,2.20957946167709,slight,1617580800,1617580800
2021-04-06,Chan-set,1.98643410852713,2.19897637366228,slight,1617667200,1617667200
2021-04-07,Chan-set,2.19836400817996,2.20384178237745,slight,1617753600,1617753600
2021-04-08,Chan-set,2.07286432160804,2.19163644675626,slight,1617840000,1617840000
2021-04-09,Chan-set,2.65604249667995,2.20044611073494,slight,1617926400,1617926400
2021-04-10,Chan-set,2.43619489559165,2.22535631095836,slight,1618012800,1618012800
2021-04-11,Chan-set,2.86360211002261,2.26143385160452,slight,1618099200,1618099200
2021-04-12,Chan-set,2.1286441462286,2.25566231376781,slight,1618185600,1618185600
2021-04-13,Chan-set,3.21123933768189,2.30138812892576,slight,1618272000,1618272000
2021-04-14,Chan-set,2.50637213254036,2.30790566441596,slight,1618358400,1618358400
2021-04-15,Chan-set,3.2181168057211,2.36107223938629,slight,1618444800,1618444800
2021-04-16,Chan-set,2.98780487804878,2.37879439029201,slight,1618531200,1618531200
2021-04-17,Chan-set,3.30188679245283,2.41859967213255,slight,1618617600,1618617600
2021-04-18,Chan-set,2.42130750605327,2.46464471525533,slight,1618704000,1618704000
2021-04-19,Chan-set,2.65486725663717,2.46713231900604,slight,1618790400,1618790400
2021-04-20,Chan-set,1.90735694822888,2.45424993364662,slight,1618876800,1618876800
2021-04-21,Chan-set,3.11674590596936,2.48675451745865,slight,1618963200,1618963200
2021-04-22,Chan-set,2.94855708908407,2.51322332356352,slight,1619049600,1619049600
2021-04-23,Chan-set,2.37430167597765,2.53289879413993,slight,1619136000,1619136000
2021-04-24,Chan-set,2.85087719298246,2.54819151111176,slight,1619222400,1619222400
2021-04-25,Chan-set,2.59579728059333,2.55103607876334,slight,1619308800,1619308800
2021-04-26,Chan-set,3.02166476624857,2.5817407332622,slight,1619395200,1619395200
2021-04-27,Chan-set,3.45664038811401,2.63267406924658,slight,1619481600,1619481600
2021-04-28,Chan-set,2.93017456359102,2.63392782191725,slight,1619568000,1619568000
2021-04-29,Chan-set,2.06246317030053,2.61744932153333,slight,1619654400,1619654400
2021-04-30,Chan-set,2.50521920668058,2.63120077391346,slight,1619740800,1619740800
2021-05-01,Chan-set,3.19735391400221,2.6711409277745,slight,1619827200,1619827200
2021-05-02,Chan-set,2.87671232876712,2.6547243663422,slight,1619913600,1619913600
2021-05-03,Chan-set,3.0491599253267,2.66199161157807,slight,1620000000,1620000000
2021-05-04,Chan-set,3.35365853658537,2.69673862699892,slight,1620086400,1620086400
2021-05-05,Chan-set,2.83209710047202,2.72408402629657,slight,1620172800,1620172800
2021-05-06,Chan-set,3.08555399719495,2.76072135591883,slight,1620259200,1620259200
2021-05-07,Chan-set,2.54300673148841,2.77220944669578,slight,1620345600,1620345600
2021-05-08,Chan-set,2.82208588957055,2.7971834989612,slight,1620432000,1620432000
2021-05-09,Chan-set,1.32669983416252,2.75287207687729,slight,1620518400,1620518400
2021-05-10,Chan-set,1.70118343195266,2.72837169475599,slight,1620604800,1620604800
2021-05-11,Chan-set,2.29805013927577,2.70951996239776,slight,1620691200,1620691200
2021-05-12,Chan-set,2.27457351746548,2.71438427477232,slight,1620777600,1620777600
2021-05-13,Chan-set,1.36765888978278,2.65293159317568,slight,1620864000,1620864000
2021-05-14,Chan-set,2.44988864142539,2.65104881013852,slight,1620950400,1620950400
2021-05-15,Chan-set,2.05278592375367,2.61220444740627,slight,1621036800,1621036800
2021-05-16,Chan-set,2.01612903225806,2.57981525254658,slight,1621123200,1621123200
2021-05-17,Chan-set,2.15384615384615,2.54154723125969,slight,1621209600,1621209600
2021-05-18,Chan-set,1.40734949179046,2.50774863078426,slight,1621296000,1621296000
2021-05-19,Chan-set,2.16486261448793,2.49141514271262,slight,1621382400,1621382400
2021-05-20,Chan-set,1.67548500881834,2.4836860780656,slight,1621468800,1621468800
2021-05-21,Chan-set,1.90073917634636,2.4431525204115,slight,1621555200,1621555200
2021-05-22,Chan-set,1.26103404791929,2.38690175237268,slight,1621641600,1621641600
2021-05-23,Chan-set,1.42276422764228,2.35518383742817,slight,1621728000,1621728000
2021-05-24,Chan-set,1.58590308370044,2.31301803378543,slight,1621814400,1621814400
2021-05-25,Chan-set,1.83887915936953,2.28778742974464,slight,1621900800,1621900800
2021-05-26,Chan-set,0.988142292490119,2.22000334728602,slight,1621987200,1621987200
2021-05-27,Chan-set,1.69133192389006,2.16115973181189,slight,1622073600,1622073600
2021-05-28,Chan-set,2.26666666666667,2.13904280191441,slight,1622160000,1622160000
2021-05-29,Chan-set,0.611620795107034,2.09068138940796,slight,1622246400,1622246400
2021-05-30,Chan-set,0.371747211895911,2.01956565624847,slight,1622332800,1622332800
2021-05-31,Chan-set,1.88679245283019,1.97588027420941,slight,1622419200,1622419200
2021-06-01,Chan-set,1.79717586649551,1.93989572546702,slight,1622505600,1622505600
2021-06-02,Chan-set,2.64705882352941,1.92649235540711,slight,1622592000,1622592000
2021-06-03,Chan-set,3.42261904761905,1.92879103910823,slight,1622678400,1622678400
2021-06-04,Chan-set,1.94410692588092,1.89919136662186,slight,1622764800,1622764800
2021-06-05,Chan-set,1.93164933135215,1.86072787776044,slight,1622851200,1622851200
2021-06-06,Chan-set,2.3598820058997,1.85462372024081,slight,1622937600,1622937600
2021-06-07,Chan-set,1.21483375959079,1.80104864924149,slight,1623024000,1623024000
2021-06-08,Chan-set,1.29411764705882,1.79996257633803,slight,1623110400,1623110400
2021-06-09,Chan-set,1.07799619530755,1.77918966844986,slight,1623196800,1623196800
2021-06-10,Chan-set,1.80859080633007,1.76287435735167,slight,1623283200,1623283200
2021-06-11,Chan-set,1.65361183637946,1.7421756346488,slight,1623369600,1623369600
2021-06-12,Chan-set,0.842696629213483,1.72467689262983,slight,1623456000,1623456000
2021-06-13,Chan-set,0.941915227629513,1.67441111216996,slight,1623542400,1623542400
2021-06-14,Chan-set,1.96253345227475,1.671402696454,slight,1623628800,1623628800
2021-06-15,Chan-set,1.91605839416058,1.66806700851742,slight,1623715200,1623715200
2021-06-16,Chan-set,2.39880059970015,1.67623215671255,slight,1623801600,1623801600
2021-06-17,Chan-set,1.9471488178025,1.69422546757962,slight,1623888000,1623888000
2021-06-18,Chan-set,2.47148288973384,1.70444614342115,slight,1623974400,1623974400
2021-06-19,Chan-set,3.43347639484979,1.76304585628886,slight,1624060800,1624060800
2021-06-20,Chan-set,0.822368421052632,1.72710016444574,slight,1624147200,1624147200
2021-06-21,Chan-set,2.05949656750572,1.75371558176529,slight,1624233600,1624233600
2021-06-22,Chan-set,1.55844155844156,1.7582381594586,slight,1624320000,1624320000
2021-06-23,Chan-set,2.06349206349206,1.77415779211832,slight,1624406400,1624406400
2021-06-24,Chan-set,1.02516309412861,1.74703392327695,slight,1624492800,1624492800
2021-06-25,Chan-set,1.01010101010101,1.74776588053065,slight,1624579200,1624579200
2021-06-26,Chan-set,1.71821305841924,1.74866191834829,slight,1624665600,1624665600
2021-06-27,Chan-set,1.11856823266219,1.71039197054814,slight,1624752000,1624752000
2021-06-28,Chan-set,1.6798418972332,1.74599934061901,slight,1624838400,1624838400
2021-06-29,Chan-set,0.763105507631055,1.75904461714352,slight,1624924800,1624924800
2021-06-30,Chan-set,1.05042016806723,1.73116554098475,slight,1625011200,1625011200
2021-07-01,Chan-set,1.23015873015873,1.71226496977353,slight,1625097600,1625097600
2021-07-02,Chan-set,2.22104706504495,1.69806457782404,slight,1625184000,1625184000
2021-07-03,Chan-set,0.792602377807133,1.61039735549698,slight,1625270400,1625270400
2021-07-04,Chan-set,0.904704463208685,1.57575060674124,slight,1625356800,1625356800
2021-07-05,Chan-set,1.1472275334608,1.54960321347819,slight,1625443200,1625443200
2021-07-06,Chan-set,1.32362673726009,1.51506137119021,slight,1625529600,1625529600
2021-07-07,Chan-set,1.33689839572193,1.51913019239458,slight,1625616000,1625616000
2021-07-08,Chan-set,1.23299319727891,1.51709271073525,slight,1625702400,1625702400
2021-07-09,Chan-set,1.09973454683352,1.51781732245278,slight,1625788800,1625788800
2021-07-10,Chan-set,1.54798761609907,1.50913054944508,slight,1625875200,1625875200
2021-07-11,Chan-set,0.933271115258983,1.4851191920744,slight,1625961600,1625961600
2021-07-12,Chan-set,1.47011824864174,1.50603324605534,slight,1626048000,1626048000
2021-07-13,Chan-set,1.25523012552301,1.51647707598512,slight,1626134400,1626134400
2021-07-14,Chan-set,2.10030004286327,1.52106929567141,slight,1626220800,1626220800
2021-07-15,Chan-set,2.18604651162791,1.53006889958698,slight,1626307200,1626307200
2021-07-16,Chan-set,1.57246068848279,1.50252423587974,slight,1626393600,1626393600
2021-07-17,Chan-set,1.53576129881527,1.48881131858016,slight,1626480000,1626480000
2021-07-18,Chan-set,1.82266009852217,1.46718389220644,slight,1626566400,1626566400
2021-07-19,Chan-set,1.95348837209302,1.41785095811455,slight,1626652800,1626652800
2021-07-20,Chan-set,1.9403521379806,1.45511708201215,slight,1626739200,1626739200
2021-07-21,Chan-set,1.71990171990172,1.44379725375868,slight,1626825600,1626825600
2021-07-22,Chan-set,2.2289766970618,1.46614842504602,slight,1626912000,1626912000
2021-07-23,Chan-set,2.24252491694352,1.47211618682774,slight,1626998400,1626998400
2021-07-24,Chan-set,2.1492295214923,1.50958506773986,slight,1627084800,1627084800
2021-07-25,Chan-set,1.95635816403311,1.54112697287093,slight,1627171200,1627171200
2021-07-26,Chan-set,3.01523158221946,1.58436092366427,slight,1627257600,1627257600
2021-07-27,Chan-set,2.53097811758503,1.6314412531617,slight,1627344000,1627344000
2021-07-28,Chan-set,2.91235710397387,1.67252509338639,slight,1627430400,1627430400
2021-07-29,Chan-set,2.17060994139353,1.71944190784514,slight,1627516800,1627516800
2021-07-30,Chan-set,2.15603467437208,1.75629572472197,slight,1627603200,1627603200
2021-07-31,Chan-set,2.57705912076806,1.80119240440894,slight,1627689600,1627689600
2021-08-01,Chan-set,3.36666666666667,1.839379724463,slight,1627776000,1627776000
2021-08-02,Chan-set,2.64717502963256,1.90119881285718,slight,1627862400,1627862400
2021-08-03,Chan-set,2.77583798882682,1.96356993037779,slight,1627948800,1627948800
2021-08-04,Chan-set,2.65033407572383,2.01367348178655,slight,1628035200,1628035200
2021-08-05,Chan-set,3.16670436552816,2.07510940272882,slight,1628121600,1628121600
2021-08-06,Chan-set,3.24427480916031,2.1386886165101,slight,1628208000,1628208000
2021-08-07,Chan-set,2.49221183800623,2.18066257120101,slight,1628294400,1628294400
2021-08-08,Chan-set,2.44221543829045,2.22541193424958,slight,1628380800,1628380800
2021-08-09,Chan-set,2.00766974960523,2.24073467203312,slight,1628467200,1628467200
2021-08-10,Chan-set,2.42842535787321,2.29057314678692,slight,1628553600,1628553600
2021-08-11,Chan-set,1.87760778859527,2.30415613145204,slight,1628640000,1628640000
2021-08-12,Chan-set,1.70523751522533,2.31915637777545,slight,1628726400,1628726400
2021-08-13,Chan-set,1.34939759036145,2.29412629602539,slight,1628812800,1628812800
2021-08-14,Chan-set,1.42506142506143,2.26876012647318,slight,1628899200,1628899200
2021-08-15,Chan-set,1.95971692977681,2.28166866784964,slight,1628985600,1628985600
2021-08-16,Chan-set,1.70914542728636,2.28744813879868,slight,1629072000,1629072000
