primer,primer_set,number of mismatches per sample,number of samples,samples%
Chu-ORF1ab,Chu-set,2,123,0.00018487205501070906
Mollaei-E,Mollaei-set,2,270,0.00040581670612106866
Mollaei-RdRp,Mollaei-set,2,212,0.00031864126554691317
Mollaei-S,Mollaei-set,2,125,0.00018787810468567993
Mollaei-N,Mollaei-set,2,62,9.318753992409724e-05
Mollaei-ORF1ab,Mollaei-set,2,35,5.260586931199038e-05
DMSC-N,DMSC-set,2,434,0.0006523127794686807
Shirato-N,Shirato-set,2,303,0.00045541652575808815
Yip-ORF1ab,Yip-set,2,204,0.00030661706684702967
Huang-E,Huang-set,2,70,0.00010521173862398076
Niu-N,Niu-set,1,451425,0.6785029872618645
Niu-RdRp,Niu-set,1,349270,0.5249614849885395
Niu-ORF1ab,Niu-set,1,4528,0.00680569646413407
Niu-E,Niu-set,1,2876,0.004322699432608124
Won-RdRp-1,Won-set,1,347148,0.5217720662833953
Won-RdRp-3,Won-set,1,29963,0.04503513320557622
Won-RdRp-2,Won-set,1,13411,0.020157066095517227
Won-N-2,Won-set,1,12049,0.01810994626686206
Won-E-2,Won-set,1,9645,0.014496674557547063
Won-E-1,Won-set,1,9365,0.014075827603051141
Won-N-1,Won-set,1,8323,0.012509675722391313
Won-S-1,Won-set,1,3824,0.00574756697854432
Won-S-2,Won-set,1,3000,0.004509074512456319
Davi-S-2,Davi-set,1,171119,0.25719610716567093
Davi-S-1,Davi-set,1,154969,0.23292225604028108
Davi-ORF1a-4,Davi-set,1,67607,0.1016150001878781
Davi-ORF1b-1,Davi-set,1,12564,0.01888400405816706
Davi-ORF1a-1,Davi-set,1,12096,0.018180588434223877
Davi-ORF1b-2,Davi-set,1,9540,0.014338856949611092
Davi-ORF1b-3,Davi-set,1,8864,0.013322812159470935
Davi-ORF1a-3,Davi-set,1,8605,0.012933528726562206
Davi-ORF1a-2,Davi-set,1,3738,0.005618306842520572
Corman-RdRp,Corman-set,1,345903,0.519900800360726
Corman-E,Corman-set,1,9334,0.014029233833089091
Corman-N,Corman-set,1,8824,0.013262691165971518
Tombuloglu-RdRp,Tombuloglu-set,1,346974,0.5215105399616728
Tombuloglu-E,Tombuloglu-set,1,10205,0.01533836846653891
Sarkar-S,Sarkar-set,1,332798,0.5002036598654793
Sarkar-E,Sarkar-set,1,9522,0.014311802502536355
Sarkar-RdRp,Sarkar-set,1,2358,0.0035441325667906662
Sarkar-N,Sarkar-set,1,1057,0.0015886972532221095
Young-S,Young-set,1,132901,0.1997535039266524
Young-N,Young-set,1,6624,0.009956036523503551
Young-ORF1ab,Young-set,1,4328,0.006505091496636982
Lu-N-1,Lu-set,1,31818,0.047823244279111714
Lu-N-3,Lu-set,1,16380,0.0246195468380115
Lu-N-2,Lu-set,1,13405,0.020148047946492317
Chan-S,Chan-set,1,22940,0.03447938977191598
Chan-N,Chan-set,1,12097,0.01818209145906136
Chan-RdRp,Chan-set,1,3891,0.005848269642655845
IP-RdRp-2,IP-set,1,31571,0.04745199714425281
IP-RdRp-1,IP-set,1,6265,0.009416450606846278
Chu-N,Chu-set,1,19285,0.0289858339909067
Chu-ORF1ab,Chu-set,1,5085,0.007642881298613459
Mollaei-E,Mollaei-set,1,9942,0.014943072934280238
Mollaei-RdRp,Mollaei-set,1,6330,0.009514147221282831
Mollaei-S,Mollaei-set,1,3645,0.005478525532634427
Mollaei-N,Mollaei-set,1,3105,0.00466689212039229
Mollaei-ORF1ab,Mollaei-set,1,1040,0.001563145830984857
DMSC-N,DMSC-set,1,13622,0.020474204336226657
Shirato-N,Shirato-set,1,9569,0.01438244466989817
Yip-ORF1ab,Yip-set,1,4531,0.006810205538646526
Huang-E,Huang-set,1,2622,0.003940931123886823
