collection_date,allpos_count
2021-11-17,1985
2021-11-18,2003
2021-11-19,1808
2021-11-20,971
2021-11-21,1234
2021-11-22,2179
2021-11-23,1446
2021-11-24,1070
2021-11-25,561
2021-11-26,959
2021-11-27,1185
2021-11-28,1071
2021-11-29,3182
2021-11-30,3984
2021-12-01,3046
2021-12-02,2499
2021-12-03,2429
2021-12-04,1592
2021-12-05,1276
2021-12-06,3606
2021-12-07,3029
2021-12-08,2682
2021-12-09,2251
2021-12-10,2117
2021-12-11,1180
2021-12-12,1086
2021-12-13,2202
2021-12-14,3585
2021-12-15,2621
2021-12-16,2048
2021-12-17,2279
2021-12-18,1414
2021-12-19,1410
2021-12-20,2098
2021-12-21,2688
2021-12-22,2519
2021-12-23,1912
2021-12-24,818
2021-12-25,370
2021-12-26,2008
2021-12-27,3886
2021-12-28,3611
2021-12-29,3811
2021-12-30,3363
2021-12-31,1248
2022-01-01,2378
2022-01-02,2143
2022-01-03,3884
2022-01-04,4625
2022-01-05,2521
2022-01-06,2999
2022-01-07,2712
2022-01-08,1345
2022-01-09,2148
2022-01-10,3095
2022-01-11,3677
2022-01-12,2789
2022-01-13,2798
2022-01-14,3005
2022-01-15,2379
2022-01-16,1553
2022-01-17,2587
2022-01-18,2802
2022-01-19,2823
2022-01-20,2014
2022-01-21,1680
2022-01-22,1009
2022-01-23,1796
2022-01-24,3389
2022-01-25,2269
2022-01-26,1973
2022-01-27,2121
2022-01-28,1716
2022-01-29,746
2022-01-30,1113
2022-01-31,3169
2022-02-01,3451
2022-02-02,3030
2022-02-03,1836
2022-02-04,1120
2022-02-05,1009
2022-02-06,1131
2022-02-07,3237
2022-02-08,2383
2022-02-09,1734
2022-02-10,1302
2022-02-11,1334
2022-02-12,963
2022-02-13,632
2022-02-14,2145
2022-02-15,1414
2022-02-16,1513
2022-02-17,1545
2022-02-18,1070
2022-02-19,602
2022-02-20,396
2022-02-21,855
2022-02-22,1234
2022-02-23,1058
2022-02-24,885
2022-02-25,500
2022-02-26,376
2022-02-27,264
2022-02-28,825
2022-03-01,808
2022-03-02,744
2022-03-03,353
2022-03-04,291
2022-03-05,196
2022-03-06,178
2022-03-07,610
2022-03-08,718
2022-03-09,588
2022-03-10,512
2022-03-11,371
2022-03-12,185
2022-03-13,230
2022-03-14,682
2022-03-15,1150
2022-03-16,660
2022-03-17,512
2022-03-18,735
2022-03-19,682
2022-03-20,750
2022-03-21,1499
2022-03-22,1838
2022-03-23,1456
2022-03-24,854
2022-03-25,1649
2022-03-26,1731
2022-03-27,1874
2022-03-28,2524
2022-03-29,555
2022-03-30,445
2022-03-31,373
2022-04-01,69
2022-04-02,5
2022-04-03,6
2022-04-05,2
2022-04-06,1
