collection_date,allpos_count
2021-01-06,1232
2021-01-07,1221
2021-01-08,1522
2021-01-09,1439
2021-01-10,1087
2021-01-11,1808
2021-01-12,1697
2021-01-13,1383
2021-01-14,1486
2021-01-15,1647
2021-01-16,1331
2021-01-17,1070
2021-01-18,2061
2021-01-19,1652
2021-01-20,1200
2021-01-21,1240
2021-01-22,1379
2021-01-23,996
2021-01-24,990
2021-01-25,2211
2021-01-26,1758
2021-01-27,1834
2021-01-28,1416
2021-01-29,1633
2021-01-30,1197
2021-01-31,1136
2021-02-01,1759
2021-02-02,1621
2021-02-03,1516
2021-02-04,1387
2021-02-05,1291
2021-02-06,1450
2021-02-07,1249
2021-02-08,2734
2021-02-09,2146
2021-02-10,2197
2021-02-11,1799
2021-02-12,1753
2021-02-13,1592
2021-02-14,1571
2021-02-15,2156
2021-02-16,2015
2021-02-17,1547
2021-02-18,1311
2021-02-19,1356
2021-02-20,1327
2021-02-21,1597
2021-02-22,2141
2021-02-23,1849
2021-02-24,2039
2021-02-25,2374
2021-02-26,1764
2021-02-27,1339
2021-02-28,1280
2021-03-01,2294
2021-03-02,2151
2021-03-03,2279
2021-03-04,1824
2021-03-05,1589
2021-03-06,1108
2021-03-07,1215
2021-03-08,2290
2021-03-09,2214
2021-03-10,2425
2021-03-11,2250
2021-03-12,2414
2021-03-13,1955
2021-03-14,1794
2021-03-15,2683
2021-03-16,2526
2021-03-17,1995
2021-03-18,2135
2021-03-19,1827
2021-03-20,1589
2021-03-21,1831
2021-03-22,2288
2021-03-23,1903
2021-03-24,2130
2021-03-25,1923
2021-03-26,1673
2021-03-27,1333
2021-03-28,1037
2021-03-29,1694
2021-03-30,1760
2021-03-31,2007
2021-04-01,2351
2021-04-02,2137
2021-04-03,1978
2021-04-04,1298
2021-04-05,2386
2021-04-06,2064
2021-04-07,1956
2021-04-08,1592
2021-04-09,2259
2021-04-10,1724
2021-04-11,1327
2021-04-12,2161
2021-04-13,1993
2021-04-14,2354
2021-04-15,1678
2021-04-16,1640
2021-04-17,1272
2021-04-18,826
2021-04-19,1921
2021-04-20,1468
2021-04-21,1893
2021-04-22,1594
2021-04-23,1432
2021-04-24,912
2021-04-25,809
2021-04-26,1754
2021-04-27,1649
2021-04-28,1604
2021-04-29,1697
2021-04-30,1437
2021-05-01,907
2021-05-02,730
2021-05-03,1607
2021-05-04,1640
2021-05-05,1483
2021-05-06,1426
2021-05-07,1337
2021-05-08,815
2021-05-09,603
2021-05-10,1352
2021-05-11,1436
2021-05-12,1231
2021-05-13,1243
2021-05-14,898
2021-05-15,682
2021-05-16,744
2021-05-17,1625
2021-05-18,1279
2021-05-19,1201
2021-05-20,1134
2021-05-21,947
2021-05-22,793
2021-05-23,492
2021-05-24,1135
2021-05-25,1142
2021-05-26,1012
2021-05-27,946
2021-05-28,750
2021-05-29,654
2021-05-30,538
2021-05-31,583
2021-06-01,779
2021-06-02,680
2021-06-03,672
2021-06-04,823
2021-06-05,673
2021-06-06,678
2021-06-07,1564
2021-06-08,1700
2021-06-09,1577
2021-06-10,1327
2021-06-11,1149
2021-06-12,712
2021-06-13,637
2021-06-14,1121
2021-06-15,1096
2021-06-16,667
2021-06-17,719
2021-06-18,526
2021-06-19,466
2021-06-20,608
2021-06-21,1311
2021-06-22,1155
2021-06-23,1260
2021-06-24,1073
2021-06-25,891
2021-06-26,873
2021-06-27,894
2021-06-28,2024
2021-06-29,3014
2021-06-30,2380
2021-07-01,2520
2021-07-02,1891
2021-07-03,1514
2021-07-04,1658
2021-07-05,3138
2021-07-06,3022
2021-07-07,2618
2021-07-08,2352
2021-07-09,2637
2021-07-10,2261
2021-07-11,2143
2021-07-12,3129
2021-07-13,2390
2021-07-14,2333
2021-07-15,2150
2021-07-16,2353
2021-07-17,2279
2021-07-18,2030
2021-07-19,3225
2021-07-20,2783
2021-07-21,2035
2021-07-22,1974
2021-07-23,2408
2021-07-24,2466
2021-07-25,2658
2021-07-26,3217
2021-07-27,3793
2021-07-28,3674
2021-07-29,4607
2021-07-30,4499
2021-07-31,3958
2021-08-01,3000
2021-08-02,5062
2021-08-03,5728
2021-08-04,4490
2021-08-05,4421
2021-08-06,4192
2021-08-07,3210
2021-08-08,2293
2021-08-09,4433
2021-08-10,3912
2021-08-11,2876
2021-08-12,2463
2021-08-13,2075
2021-08-14,2035
2021-08-15,1837
2021-08-16,3335
2021-08-17,2565
2021-08-18,2261
2021-08-19,1980
2021-08-20,2090
2021-08-21,1969
2021-08-22,1844
2021-08-23,3566
2021-08-24,3195
2021-08-25,2603
2021-08-26,2316
2021-08-27,2849
2021-08-28,2407
2021-08-29,1742
2021-08-30,4303
2021-08-31,4104
2021-09-01,3377
2021-09-02,2865
2021-09-03,2184
2021-09-04,2009
2021-09-05,2247
2021-09-06,2576
2021-09-07,3993
2021-09-08,3663
2021-09-09,3114
2021-09-10,2696
2021-09-11,1914
2021-09-12,2260
2021-09-13,4566
2021-09-14,4018
2021-09-15,3489
2021-09-16,3736
2021-09-17,3886
2021-09-18,2973
2021-09-19,2916
2021-09-20,4559
2021-09-21,3478
2021-09-22,2877
2021-09-23,2937
2021-09-24,2737
2021-09-25,1904
2021-09-26,2550
2021-09-27,4272
2021-09-28,3443
2021-09-29,3252
2021-09-30,2636
2021-10-01,2051
2021-10-02,993
2021-10-03,1246
2021-10-04,2532
2021-10-05,2794
2021-10-06,1973
2021-10-07,2848
